Time,Open,Close,High,Low,Amount,Volume
2023-03-12 05:45:00,1465.45,1464.2,1465.75,1464.2,33.554239,49154.842219643
2023-03-12 05:50:00,1464.2,1463.74,1464.71,1463.25,43.8545813,64206.097705298
2023-03-12 05:55:00,1463.74,1463.01,1463.74,1462.82,11.0281089,16136.111626953
2023-03-12 06:00:00,1463,1463.33,1464.02,1463,19.5125856,28557.719424558
2023-03-12 06:05:00,1463.34,1461.91,1463.55,1461.9,71.0637044,103968.136614617
2023-03-12 06:10:00,1461.9,1462.01,1464.74,1461,105.0987169,153761.012238294
2023-03-12 06:15:00,1462,1462.31,1463.19,1462,43.9290907,64244.568691622
2023-03-12 06:20:00,1462.31,1462.66,1463.4,1462,67.8510386,99239.404150899
2023-03-12 06:25:00,1462.67,1462.44,1462.99,1461.62,48.558971,71014.66956219
2023-03-12 06:30:00,1462.44,1460.9,1462.69,1460.8,33.5878419,49095.007667239
2023-03-12 06:35:00,1460.96,1460.72,1461.19,1460.71,66.3446898,96926.866974652
2023-03-12 06:40:00,1460.72,1459.51,1460.72,1459.11,134.4300827,196243.063734721
2023-03-12 06:45:00,1459.52,1460.48,1461.02,1459.52,47.8240296,69827.796794691
2023-03-12 06:50:00,1459.95,1459.89,1461.36,1459.5,93.2849124,136203.918194169
2023-03-12 06:55:00,1459.89,1458.4,1460.08,1457.78,68.441471,99828.249699307
2023-03-12 07:00:00,1458.41,1458.95,1459.23,1458.23,82.588587,120478.702989451
2023-03-12 07:05:00,1458.95,1459.56,1459.57,1458.6,33.1338818,48346.328392409
2023-03-12 07:10:00,1459.57,1459.11,1460.52,1459.01,68.424897,99886.448100595
2023-03-12 07:15:00,1459.12,1460.5,1461.45,1459.12,81.4610542,118925.863253737
2023-03-12 07:20:00,1460.51,1459.7,1462.3,1459.46,105.5088515,154157.957686748
2023-03-12 07:25:00,1459.71,1460.29,1460.92,1459.7,31.0287369,45314.937543519
2023-03-12 07:30:00,1460.3,1459.87,1461.24,1459.39,73.8309183,107791.278401813
2023-03-12 07:35:00,1459.96,1459.23,1460.15,1458.61,31.7529782,46335.195133882
2023-03-12 07:40:00,1459.26,1457.75,1459.56,1457.75,31.4651326,45902.090365884
2023-03-12 07:45:00,1457.75,1456.14,1457.81,1454.04,218.4648974,318028.575302407
2023-03-12 07:50:00,1455.82,1457.43,1458.11,1455.75,73.2183113,106680.550058328
2023-03-12 07:55:00,1457.37,1459.5,1459.74,1457.15,73.7527558,107611.836688401
2023-03-12 08:00:00,1459.5,1461.04,1461.99,1458.2,399.3070091,582697.380349491
2023-03-12 08:05:00,1460.97,1460.65,1462.53,1460.19,59.6328798,87149.75857036
2023-03-12 08:10:00,1460.47,1461.79,1462.34,1460.46,29.1813422,42650.583360805
2023-03-12 08:15:00,1461.79,1462.07,1463.8,1461.13,46.8179258,68458.985292065
2023-03-12 08:20:00,1462.32,1461.97,1463.12,1461.31,40.314076,58948.046990069
2023-03-12 08:25:00,1461.97,1462.01,1462.32,1461.39,35.8801198,52453.818822439
2023-03-12 08:30:00,1462.02,1462.32,1463.26,1462.01,19.38510256,28351.306161181
2023-03-12 08:35:00,1462.33,1461.76,1462.33,1461.66,25.0271101,36587.367240708
2023-03-12 08:40:00,1461.76,1462.3,1462.3,1461.75,17.77131862,25984.119517748
2023-03-12 08:45:00,1462.3,1460.95,1462.3,1460.94,25.1335961,36730.084083381
2023-03-12 08:50:00,1460.95,1460.53,1461.07,1460.33,21.7461957,31768.836308574
2023-03-12 08:55:00,1460.53,1463.25,1463.28,1460.52,28.768479,42077.618257607
2023-03-12 09:00:00,1463.24,1464.56,1466.01,1463.24,97.2036352,142405.205888659
2023-03-12 09:05:00,1464.56,1462.42,1464.86,1462.21,37.3481621,54653.926752458
2023-03-12 09:10:00,1462.3,1461.61,1462.7,1461.6,19.8029429,28956.57901208
2023-03-12 09:15:00,1461.61,1463.72,1463.72,1460.8,94.3913026,138027.953045041
2023-03-12 09:20:00,1463.71,1463.18,1464.28,1462.96,72.052777,105474.007352745
2023-03-12 09:25:00,1463.18,1463.62,1464.51,1463.09,63.4489945,92864.925465895
2023-03-12 09:30:00,1463.61,1464.17,1464.67,1463.27,54.4211153,79671.948981883
2023-03-12 09:35:00,1464.17,1464.69,1464.7,1463.1,40.7845329,59700.7267926
2023-03-12 09:40:00,1464.62,1463.02,1464.62,1463.02,32.5972097,47712.897553719
2023-03-12 09:45:00,1463.1,1460.82,1463.41,1460.8,47.1213211,68886.172586903
2023-03-12 09:50:00,1460.93,1461.5,1461.72,1460.92,39.8954522,58295.408324304
